name,school
中国第一所现代大学,北洋大学堂
中国第一张大学文凭（钦字第一号）,北洋大学堂
北洋大学堂被迫停办,北洋大学堂
校址迁至天津西沽武库,北洋大学堂
北洋大学堂第一批毕业生留学美国,北洋大学堂
北洋大学学生冯熙敏获殿试第一名,北洋大学堂
北洋大学堂改称北洋大学校,北洋大学校
北洋大学堂改称北洋大学校,北洋大学堂
北洋大学校奉令改称国立北洋大学,北洋大学校
北洋大学校奉令改称国立北洋大学,国立北洋大学
赵天麟校长颁布校训：“实事求是”,国立北洋大学
北洋大学进入专办工科时代,国立北洋大学
建立“中国第一水工试验所”,国立北洋大学
北洋大学改为国立北洋工学院,国立北洋大学
北洋大学改为国立北洋工学院,国立北洋工学院
成功试制中国第一台飞机发动机,国立北洋工学院
北洋工学院开始招收研究生,国立北洋工学院
北洋工学院被迫西迁，合组西安临时大学,国立北洋工学院
北洋工学院被迫西迁，合组西安临时大学,国立西安临时大学
西安临时大学迁校汉中，改称西北联合大学，后合组为西北工学院,西安临时大学
西安临时大学迁校汉中，改称西北联合大学，后合组为西北工学院,国立西北联合大学
国立英士大学工学院独立为“国立北洋工学院”,国立北洋工学院
北洋工学院西京分院建立,国立西北工学院
北洋大学在天津西沽原址复校,国立西北工学院
北洋大学与河北工学院合并，定名为天津大学,河北工学院
北洋大学与河北工学院合并，定名为天津大学,天津大学
天津大学成为多科性工业大学,天津大学
天津大学成为多科性工业大学,南开大学
天津大学成为多科性工业大学,清华大学
天津大学成为多科性工业大学,北京邮电大学
周恩来总理视察天津大学,天津大学
毛泽东主席视察天津大学,天津大学
中共中央总书记邓小平视察天津大学,天津大学
天津大学被定为国家首批16所重点大学之一,天津大学
恢复全国高等教育招生考试,天津大学
天津大学获得首批博士学位授予权,天津大学
天津大学成立研究生院,天津大学
天津大学在全国首倡“综合性、研究型、开放式”的办学方向,天津大学
国家教委与天津市人民政府签署了共建天津大学协议书,天津大学
北洋大学—天津大学百年校庆大典成功举办,天津大学
天津大学被列为国家“211工程”重点建设院校,天津大学
天大天财股份有限公司股票在深圳证券交易所上市,天津大学
学院制改革顺利完成,天津大学
天津大学顺利通过教育部组织的本科教学评估,天津大学
天津大学提出新世纪学校的发展方向是“上水平、出精品、办特色”,天津大学
天津大学被列入了国家“985工程”一期重点建设院校,天津大学
天津大学提出实施“三步走”的发展战略,天津大学
天津大学把教学工作定位于学校各项工作的优先位置,天津大学
天津大学被列入中国工程院和教育部10所工程教育改革试点学校,天津大学
天津市通过了天津大学新校区选址方案,南开大学
天津市通过了天津大学新校区选址方案,天津大学
教育部和天津市政府签署了共建天津大学新校区框架协议,天津大学
天津大学加入《卓越人才培养合作框架协议》,天津大学
天津大学加入《卓越人才培养合作框架协议》,北京理工大学
天津大学加入《卓越人才培养合作框架协议》,东南大学
天津大学加入《卓越人才培养合作框架协议》,大连理工大学
天津大学加入《卓越人才培养合作框架协议》,哈尔滨工业大学
天津大学加入《卓越人才培养合作框架协议》,华南理工大学
天津大学加入《卓越人才培养合作框架协议》,同济大学
天津大学加入《卓越人才培养合作框架协议》,西北工业大学
天津大学加入《卓越人才培养合作框架协议》,重庆大学
天津大学新校区建设开工,天津大学
天津大学新校区建设开工,南开大学
天津化学化工协同创新中心成为首批14个“2011计划”建设单位之一,南开大学
天津化学化工协同创新中心成为首批14个“2011计划”建设单位之一,天津大学
《天津大学章程》经教育部核准，正式实施,天津大学
宣怀学院成立,天津大学
重新整合理学院、成立数学学院,天津大学
天津大学入选“双一流”建设高校名单,天津大学
入选教育部首批国家级新工科研究与实践项目,天津大学
天津大学新工科教育中心揭牌成立,天津大学
天津大学成为首批20所学位授权自主审核单位之一,天津大学
天津大学智能与计算学部揭牌成立,天津大学
天津大学在高校社会影响力榜单排名第九，高校媒体影响力榜单排名第九，高校新媒体影响力榜单排名第六,天津大学
入选教育部第一批中华优秀传统文化传承基地,天津大学
天津大学与四川省人民政府签署战略合作协议,天津大学
天津大学、新加坡国立大学、福州市政府、福建省教育厅在福州签订合作办学协议，天津大学福州国际校区落户滨海新城,天津大学
天津大学、新加坡国立大学、福州市政府、福建省教育厅在福州签订合作办学协议，天津大学福州国际校区落户滨海新城,新加坡国立大学
天津大学医教联合体成立,天津大学
天津大学被教育部认定为首批高等学校科技成果转化和技术转移基地,天津大学
天津大学牵头成立国家级稀土催化研究院。,天津大学
北京古建筑研究院在天津大学揭牌成立,天津大学
天津市滨海新区人民政府与天津大学召开启动会,天津大学
联合成立“圆明园研究高校联盟”,天津大学
联合成立“圆明园研究高校联盟”,北京交通大学
联合成立“圆明园研究高校联盟”,北京外国语大学
联合成立“圆明园研究高校联盟”,中国农业大学
联合成立“圆明园研究高校联盟”,中央美术学院
联合成立“圆明园研究高校联盟”,北京大学
联合成立“圆明园研究高校联盟”,北京林业大学
联合成立“圆明园研究高校联盟”,北京理工大学
参与与天津市红桥区人民政府签署红桥区“大中小幼思政教育一体化建设联盟”,天津大学
参与与天津市红桥区人民政府签署红桥区“大中小幼思政教育一体化建设联盟”,南开大学
参与与天津市红桥区人民政府签署红桥区“大中小幼思政教育一体化建设联盟”,河北工业大学
参与与天津市红桥区人民政府签署红桥区“大中小幼思政教育一体化建设联盟”,天津师范大学
参与与天津市红桥区人民政府签署红桥区“大中小幼思政教育一体化建设联盟”,天津外国语大学
参与与天津市红桥区人民政府签署红桥区“大中小幼思政教育一体化建设联盟”,天津商业大学
联合成立高校“城乡规划扶贫联盟”,天津大学
联合成立高校“城乡规划扶贫联盟”,重庆大学
联合成立高校“城乡规划扶贫联盟”,大连理工大学
联合成立高校“城乡规划扶贫联盟”,东北大学
联合成立高校“城乡规划扶贫联盟”,东南大学
联合成立高校“城乡规划扶贫联盟”,合肥工业大学
联合成立高校“城乡规划扶贫联盟”,华南理工大学
联合成立高校“城乡规划扶贫联盟”,同济大学
联合成立高校“城乡规划扶贫联盟”,西北工业大学
联合成立高校“城乡规划扶贫联盟”,西南交通大学
联合成立高校“城乡规划扶贫联盟”,中国地质大学
中国石油化工集团和天津大学共同担任天津精细化工和新材料产业（人才）联盟主席单位,天津大学
天津大学被确定为第二批教育融媒体建设试点单位,天津大学
“2017至2019年全国内部审计先进集体”,天津大学
天津大学社会主义学院揭牌成立。,天津大学
天津大学管理与经济学部深圳管理学院揭牌成立,天津大学
天津大学获批教育部首批未来技术学院,天津大学
天津大学-中科闻歌计算智能联合实验室揭牌成立,天津大学
天津大学入选中国教育发展战略学会国际胜任力培养专业委员会常务理事单位,天津大学
天津大学与印尼华文教育机构签署合作办学备忘录,天津大学
天津大学仰大勇教授团队联合中石油石化研究院成功研发新型DNA生物塑料,天津大学
天津大学智能与计算学部入选教育部首批特色化示范性软件学院名单,天津大学
天津大学举行党的百年奋斗历史经验与世界一流大学建设研讨会,天津大学
“天津大学一号”卫星升空,天津大学
