name,starttime,endtime,place,department,type,
天津大学,1895-10-02,,卫津路校区：天津市南开区卫津路92号北洋园校区：天津市津南区雅观路135号,中华人民共和国教育部,综合类,
北洋大学堂,1895,1912,天津,,,
北洋大学校,1912,1913,天津,,公立大学,
国立北洋大学,1913,1928,天津,,,
国立北平大学第二工学院,1928,1929,天津,,,
国立北洋工学院,1929,1937,天津,,,
国立西安临时大学,1937,1938,陕西,,,
国立西北联合大学,1938,1938,陕西,中华人民共和国教育部,综合类,
国立西北工学院,1938,1951,陕西,,,
泰顺北洋工学院,1941,1945,浙江泰顺百丈口镇,,大学,
北洋工学院西京分院,1941,1945,中国陕西省西安市,,,
河北工业大学,1903,,天津市北辰校区：天津市北辰区西平道5340号天津市红桥校区：天津市红桥区丁字沽一号路8号河北省廊坊校区：河北省廊坊市广阳区新华路144号,河北省,理工类,
北平大学,1927,,中华民国北平市（今北京市）,,,
南开大学,1919-02-10,,八里台校区：天津市南开区卫津路94号[180]?津南校区：天津海河教育园区同砚路38号[180]?泰达校区：天津经济开发区宏达街23号[180],中华人民共和国教育部,综合类,
重庆大学,1929-10-12,,A校区：重庆市沙坪坝区沙正街174号B校区：重庆市沙坪坝区沙北街83号C校区：重庆市沙坪坝区渝碚路131号虎溪校区：重庆市沙坪坝区大学城南路55号,中华人民共和国教育部,综合类,
大连理工大学,1949-04-15,,凌水校区：大连市甘井子区凌工路2号开发区校区：经济技术开发区图强街321号盘锦校区：盘锦市辽东湾新区大工路2号,中华人民共和国教育部,理工类,
东北大学,1923,,南湖校区: 辽宁省沈阳市和平区文化路3巷11号浑南校区: 辽宁省沈阳市浑南区创新路195号[119]?沈河校区: 辽宁省沈阳市沈河区文化东路89号秦皇岛分校: 河北秦皇岛经济技术开发区泰山路143号,中华人民共和国教育部,理工类,
东南大学,1902,,四牌楼校区：南京市玄武区四牌楼2号九龙湖校区：南京市江宁区东南大学路2号丁家桥校区：南京市鼓楼区湖南路丁家桥87号苏州校区：苏州市苏州工业园区林泉街399号无锡校区：无锡市新吴区菱湖大道99号无锡分校新校区（无锡国际校区）：无锡市滨湖区状元路5号[84]?收起,中华人民共和国教育部,综合类,
合肥工业大学,1945,,屯溪路校区：安徽省合肥市包河区屯溪路193号[3]?六安路校区：安徽省合肥市庐阳区六安路269号翡翠湖校区：安徽省合肥市蜀山区丹霞路485号宣城校区：安徽省宣城市宣州区薰化路301号,中华人民共和国教育部,理工类,
华南理工大学,1952,,五山校区：广州市天河区五山路381号大学城校区：广州市番禺区广州大学城广州国际校区：广州市番禺区创新城,中华人民共和国教育部,理工,
同济大学,1907,,四平路校区（主校区）：上海市杨浦区四平路1239号嘉定校区：上海市嘉定区曹安公路4800号沪西校区：上海市普陀区真南路500号沪北校区：上海市静安区中山北路727号,中华人民共和国教育部[5],综合类,
西北工业大学,1938,,友谊校区：西安市碑林区友谊西路127号长安校区：西安市长安区东祥路1号江苏太仓校区（建设中）,中华人民共和国工业和信息化部,理工,
西南交通大学,1896,,犀浦校区：中国四川省成都市高新区西部园区西南交通大学[8]?九里校区：中国四川省成都市二环路北一段111号[8]?峨眉校区：中国四川省峨眉山市景区路二段6号[8],中华人民共和国教育部,理工,
中国地质大学,1952,,南望山校区：湖北省武汉市洪山区鲁磨路388号未来城校区：湖北省武汉市东湖新技术开发区锦程街68号,中华人民共和国教育部,,
新加坡国立大学,1905,,"21 Lower Kent Ridge Rd, 119077",,,
北京交通大学,1896,,本部：北京市海淀区西直门外上园村3号，威海校区：山东省威海市南海新区现代路69号,,,综合类研究型大学
北京外国语大学,1941-09-24,,北京市海淀区西三环北路2号,中华人民共和国教育部,语言类,
中央美术学院,1918,,望京校区：北京市朝阳区花家地南街8号，燕郊校区：河北省三河市燕郊经济开发区燕顺路177号，后沙峪校区，小营校区,,,
北京大学,1898,,北京市海淀区颐和园路5号,中华人民共和国教育部,综合类[1],
北京林业大学,1952-10-16,,北京市海淀区清华东路35号,中华人民共和国教育部,林业类,
北京理工大学,1940,,中关村校区：北京市海淀区中关村南大街5号良乡校区：北京市房山区良乡东路西山校区：北京市海淀区冷泉东路16号张家口校区：张家口市怀来县小南辛堡镇[90],中华人民共和国工业和信息化部,理工,
天津师范大学,1958-09-10,,天津市西青区宾水西道393号,天津市,师范类（综合）,
天津商业大学,1980,,天津市北辰区光荣道409号,天津市,财经类,
天津外国语大学,1964,,五大道校区：天津市河西区马场道117号 滨海校区：天津市滨海新区大港学府路60号,天津市,语言类,
北京科技大学,1952,,海淀校区：北京市海淀区学院路30号管庄校区：北京市朝阳区管庄北一里昌平校区：北京市昌平区沙河镇昆仑路12号,中华人民共和国教育部,理工类,
中国石油大学,1953,,青岛唐岛湾校区：山东省青岛市黄岛区长江西路66号古镇口校区：山东省青岛市黄岛区三沙路东营科教园区：山东省东营市东营区北一路739号,中华人民共和国教育部,理工类,
北京航空航天大学,1952-10-25,,学院路校区：北京市海淀区学院路37号沙河校区：北京市昌平区沙河高教园南三街9号,中华人民共和国工业和信息化部,理工类,
中国矿业大学,1909,,南湖校区：江苏省徐州市大学路1号文昌校区：江苏省徐州市泉山区金山东路1号,中华人民共和国教育部,综合类,
武汉大学,1893,,湖北省武汉市武昌区珞珈山街道八一路299号,中华人民共和国教育部,综合类,
天津工业大学,1912,,天津市西青区宾水西道399号,天津市,理工类,
天津科技大学,1958,,天津市滨海新区天津经济技术开发区第十三大街9号,天津市,理工类,
华北理工大学,1958,,河北省唐山市曹妃甸新城渤海大道21号,河北省,综合类,
北京邮电大学,1955,,北京市海淀区西土城路10号（西土城路校区）北京市昌平区高教园南三街（沙河校区）北京市昌平区北七家镇郑各庄村（宏福校区）北京市西城区新街口外大街28号（小西天校区）,中华人民共和国教育部,理工类,
燕京大学,1919,1952,北京,,私立教会大学,
辅仁大学,1927,1952,北京,,,
津沽大学,1921,,天津市河西区马场道117号,,综合类,
清华大学,1911,,北京市海淀区双清路30号,中华人民共和国教育部,综合类,
